<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
GTL ао;D;20/08/18;00:00;0.107;0.1335;0.1035;0.1205;104915000;0
GTL ао;D;21/08/18;00:00;0.123;0.127;0.1185;0.1195;24844000;0
GTL ао;D;22/08/18;00:00;0.1195;0.1205;0.1135;0.116;14366000;0
GTL ао;D;23/08/18;00:00;0.117;0.123;0.108;0.122;29618000;0
GTL ао;D;24/08/18;00:00;0.1185;0.128;0.1165;0.1235;30128000;0
GTL ао;D;27/08/18;00:00;0.1235;0.142;0.1225;0.136;55624000;0
GTL ао;D;28/08/18;00:00;0.121;0.141;0.121;0.13;39897000;0
GTL ао;D;29/08/18;00:00;0.1305;0.133;0.121;0.133;34015000;0
GTL ао;D;30/08/18;00:00;0.133;0.1415;0.1295;0.1365;48465000;0
GTL ао;D;31/08/18;00:00;0.117;0.14;0.117;0.13;12861000;0
GTL ао;D;03/09/18;00:00;0.1285;0.1345;0.124;0.124;10370000;0
GTL ао;D;04/09/18;00:00;0.125;0.1265;0.1225;0.1235;7098000;0
GTL ао;D;05/09/18;00:00;0.124;0.128;0.12;0.1245;13078000;0
GTL ао;D;06/09/18;00:00;0.125;0.1345;0.124;0.127;20516000;0
GTL ао;D;07/09/18;00:00;0.126;0.127;0.122;0.1245;4720000;0
GTL ао;D;10/09/18;00:00;0.125;0.128;0.121;0.1255;16131000;0
GTL ао;D;11/09/18;00:00;0.1255;0.128;0.118;0.1205;8098000;0
GTL ао;D;12/09/18;00:00;0.12;0.1245;0.118;0.121;9283000;0
GTL ао;D;13/09/18;00:00;0.1185;0.1225;0.1165;0.118;10710000;0
GTL ао;D;14/09/18;00:00;0.1175;0.1245;0.1175;0.1185;10308000;0
GTL ао;D;17/09/18;00:00;0.1175;0.1205;0.117;0.1185;6218000;0
GTL ао;D;18/09/18;00:00;0.1175;0.12;0.1165;0.119;5569000;0
GTL ао;D;19/09/18;00:00;0.119;0.1245;0.1175;0.124;11464000;0
GTL ао;D;20/09/18;00:00;0.1215;0.13;0.1215;0.1225;15360000;0
GTL ао;D;21/09/18;00:00;0.122;0.124;0.1205;0.1215;13879000;0
GTL ао;D;24/09/18;00:00;0.1225;0.123;0.1185;0.1195;6022000;0
