<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
GTL ао;D;14/09/18;00:00;0.1185;10308000
GTL ао;D;17/09/18;00:00;0.1185;6218000
GTL ао;D;18/09/18;00:00;0.119;5569000
GTL ао;D;19/09/18;00:00;0.124;11464000
GTL ао;D;20/09/18;00:00;0.1225;15360000
GTL ао;D;21/09/18;00:00;0.1215;13879000
GTL ао;D;24/09/18;00:00;0.1195;6022000
GTL ао;D;25/09/18;00:00;0.119;9822000
GTL ао;D;26/09/18;00:00;0.12;14318000
GTL ао;D;27/09/18;00:00;0.1175;21452000
GTL ао;D;28/09/18;00:00;0.125;76831000
GTL ао;D;01/10/18;00:00;0.124;21023000
GTL ао;D;02/10/18;00:00;0.1235;18893000
GTL ао;D;03/10/18;00:00;0.133;91159000
GTL ао;D;04/10/18;00:00;0.1245;20499000
GTL ао;D;05/10/18;00:00;0.1295;14717000
GTL ао;D;08/10/18;00:00;0.1295;13416000
GTL ао;D;09/10/18;00:00;0.124;9765000
GTL ао;D;10/10/18;00:00;0.122;13359000
GTL ао;D;11/10/18;00:00;0.1225;79424000
GTL ао;D;12/10/18;00:00;0.122;10811000
GTL ао;D;15/10/18;00:00;0.1225;11380000
GTL ао;D;16/10/18;00:00;0.1195;10597000
GTL ао;D;17/10/18;00:00;0.1195;15700000
GTL ао;D;18/10/18;00:00;0.121;19339000
GTL ао;D;19/10/18;00:00;0.1195;8574000
GTL ао;D;22/10/18;00:00;0.1165;8450000
GTL ао;D;23/10/18;00:00;0.116;8589000
GTL ао;D;24/10/18;00:00;0.1175;11376000
GTL ао;D;25/10/18;00:00;0.1175;8576000
GTL ао;D;26/10/18;00:00;0.1165;5107000
GTL ао;D;29/10/18;00:00;0.1165;4933000
GTL ао;D;30/10/18;00:00;0.1165;3645000
GTL ао;D;31/10/18;00:00;0.1185;19875000
GTL ао;D;01/11/18;00:00;0.1185;5048000
GTL ао;D;02/11/18;00:00;0.1188;6344000
GTL ао;D;06/11/18;00:00;0.1179;2174000
GTL ао;D;07/11/18;00:00;0.11765;3759000
GTL ао;D;08/11/18;00:00;0.1176;4956000
GTL ао;D;09/11/18;00:00;0.1175;7897000
GTL ао;D;12/11/18;00:00;0.11675;2922000
GTL ао;D;13/11/18;00:00;0.1167;3128000
GTL ао;D;14/11/18;00:00;0.113;13286000
GTL ао;D;15/11/18;00:00;0.112;21791000
GTL ао;D;16/11/18;00:00;0.112;5964000
GTL ао;D;19/11/18;00:00;0.11175;3063000
GTL ао;D;20/11/18;00:00;0.11125;3598000
GTL ао;D;21/11/18;00:00;0.112;3766000
GTL ао;D;22/11/18;00:00;0.1092;5042000
GTL ао;D;23/11/18;00:00;0.11055;5217000
GTL ао;D;26/11/18;00:00;0.109;11609000
GTL ао;D;27/11/18;00:00;0.1094;9019000
